station,lat,lng,distance
Khapri,21.0494858,79.043318,2.2496980718791626
New Airport,21.066076,79.055816,1.4974752280551262
Airport South,21.0788906,79.0604251,7.948598017019996
Airport Center,21.1458004,79.0881546,5.439588282710475
Jaiprakash Nagar,21.1016377,79.0652118,0.6958861907487744
Ujjwal Nagar,21.0959388,79.06803640000001,1.2397808173271738
Chhatrapati Square,21.1070771,79.0692629,1.984604190815398
Ajni,21.1187899,79.0837231,1.4982913667817686
Rahate Colony,21.1298751,79.07545069999999,0.9683671785608657
Congress Nagar,21.1317713,79.08455099999999,2.3742154403510534
Shankar Nagar,21.1336497,79.0617831,2.3268379465706044
Sitabuldi Interchange,21.1416598,79.0824926,0.9176827507399826
Zero Mile,21.1497623,79.0806319,10.311174768969698
Lokmanya Nagar,21.1022308,78.9952754,2.7265357475636267
Bansi Nagar,21.1171919,79.0161203,0.39322274988900197
Vasudev Nagar,21.118757,79.019518,1.0523120742078758
Rachana Ring Road,21.121473,79.029225,4.446727397759102
Ajni Square,21.1186167,79.0719201,5.074588800678872
Tukdoji Bhavan,21.1280461,79.1197234,5.222652770338859
Institute of Engineers,21.1381358,79.07061019999999,3.555809109012056
Subhash Nagar,21.1179069,79.04402429999999,2.5476554909702127
Vasudeo Nagar,21.118757,79.019518,6.708184845018943
Jhansi Rani Square,21.1414848,79.0793786,2.9204932752873267
Ajni Depot,21.11513,79.07821,8.914747935809324
Automotive Square,21.1855806,79.1197652,12.773119425920584
Wasudeo Nagar Depot,21.118757,79.019518,
